beer_name_key,avg_score,phone,brewery_key,phone_key,bros_score,city,brewery_name,state,style_name,abv,ratings_count,style_key,beer_name
190338,4.16,(949) 218-3967,10046,9492183967,,San Clemente,Left Coast Brewing Company,CA,American IPA,7.00,10,116,South County India Pale Ale
90867,3.44,(949) 218-3967,10046,9492183967,,San Clemente,Left Coast Brewing Company,CA,Czech Pilsener,6.10,1,40,Special K
122901,3.95,(949) 218-3967,10046,9492183967,,San Clemente,Left Coast Brewing Company,CA,American Double / Imperial IPA,10.90,14,140,Super Juice
145143,3.89,(949) 218-3967,10046,9492183967,,San Clemente,Left Coast Brewing Company,CA,American IPA,8.00,8,116,The Big Office
110814,4,(949) 218-3967,10046,9492183967,,San Clemente,Left Coast Brewing Company,CA,American Pale Ale (APA),4.10,1,97,Tommy
43450,3.46,(949) 218-3967,10046,9492183967,,San Clemente,Left Coast Brewing Company,CA,American IPA,6.90,34,116,Torrey Pines IPA
66555,3.62,(949) 218-3967,10046,9492183967,,San Clemente,Left Coast Brewing Company,CA,American IPA,6.80,295,116,Trestles
65241,3.7,(949) 218-3967,10046,9492183967,,San Clemente,Left Coast Brewing Company,CA,American Stout,8.50,536,158,Voo Doo
90871,2.57,(949) 218-3967,10046,9492183967,,San Clemente,Left Coast Brewing Company,CA,Oatmeal Stout,6.40,3,69,Zombified
39988,3.07,(909) 477-4377,10087,9094774377,,Rancho Cucamonga,Omaha Jack's Grillhouse & Brewery,CA,Fruit / Vegetable Beer,6.50,2,9,Apricot Wheat
49188,3.68,(909) 477-4377,10087,9094774377,,Rancho Cucamonga,Omaha Jack's Grillhouse & Brewery,CA,Russian Imperial Stout,11.00,1,84,Black Gold Imperial Stout
90649,3.49,(909) 477-4377,10087,9094774377,,Rancho Cucamonga,Omaha Jack's Grillhouse & Brewery,CA,American Pale Ale (APA),5.60,1,97,Cucamonga Peak Pale Ale
41348,3.06,(909) 477-4377,10087,9094774377,,Rancho Cucamonga,Omaha Jack's Grillhouse & Brewery,CA,American Pale Ale (APA),5.60,5,97,Hay Bale Pale Ale
72671,2.58,(909) 477-4377,10087,9094774377,,Rancho Cucamonga,Omaha Jack's Grillhouse & Brewery,CA,American Pale Wheat Ale,,4,93,Highway Hefeweizen
39987,3.49,(909) 477-4377,10087,9094774377,,Rancho Cucamonga,Omaha Jack's Grillhouse & Brewery,CA,American Amber / Red Ale,8.00,8,128,Jacked Up Red
35919,2.83,(909) 477-4377,10087,9094774377,,Rancho Cucamonga,Omaha Jack's Grillhouse & Brewery,CA,American Pale Ale (APA),,5,97,Omaha Jack's Pale Ale
41349,2.9,(909) 477-4377,10087,9094774377,,Rancho Cucamonga,Omaha Jack's Grillhouse & Brewery,CA,American Porter,6.00,2,159,Pitchfork Porter
72673,3.47,(909) 477-4377,10087,9094774377,,Rancho Cucamonga,Omaha Jack's Grillhouse & Brewery,CA,American Blonde Ale,,4,99,Route 66 Honey Blonde Ale
39990,3.5,(909) 477-4377,10087,9094774377,,Rancho Cucamonga,Omaha Jack's Grillhouse & Brewery,CA,American IPA,6.90,9,116,Six Shooter IPA
39989,3.17,(909) 477-4377,10087,9094774377,,Rancho Cucamonga,Omaha Jack's Grillhouse & Brewery,CA,English Brown Ale,5.60,6,74,Uptown Rancho Brown
39986,2.84,(909) 477-4377,10087,9094774377,,Rancho Cucamonga,Omaha Jack's Grillhouse & Brewery,CA,Hefeweizen,4.50,4,89,Wheatfield Hefeweizen
39985,3.29,(909) 477-4377,10087,9094774377,,Rancho Cucamonga,Omaha Jack's Grillhouse & Brewery,CA,American Blonde Ale,4.80,4,99,Woodshed Blonde
68709,3.16,(310) 329-8881,1011,3103298881,,Los Angeles,Angel City Brewery,CA,Altbier,5.20,1,86,3rd St. Alt
105496,3.58,(310) 329-8881,1011,3103298881,,Los Angeles,Angel City Brewery,CA,American IPA,4.60,7,116,All Night IPA
158188,3.63,(310) 329-8881,1011,3103298881,,Los Angeles,Angel City Brewery,CA,American Amber / Red Ale,4.60,2,128,Amber
132035,3.42,(310) 329-8881,1011,3103298881,,Los Angeles,Angel City Brewery,CA,Cream Ale,,3,6,Angel City Cream Ale
99310,3.82,(310) 329-8881,1011,3103298881,,Los Angeles,Angel City Brewery,CA,American IPA,6.10,136,116,Angel City India Pale Ale
105545,3.57,(310) 329-8881,1011,3103298881,,Los Angeles,Angel City Brewery,CA,German Pilsener,5.60,35,41,Angel City Pilsner
85540,3.39,(310) 329-8881,1011,3103298881,,Los Angeles,Angel City Brewery,CA,Witbier,4.91,39,48,Angel City Wit
131569,3.5,(310) 329-8881,1011,3103298881,,Los Angeles,Angel City Brewery,CA,American Pale Ale (APA),5.80,2,97,Artie Pale Ale
135769,3.75,(310) 329-8881,1011,3103298881,,Los Angeles,Angel City Brewery,CA,Kölsch,4.50,3,85,Avocado Ale
177012,,(310) 329-8881,1011,3103298881,,Los Angeles,Angel City Brewery,CA,Witbier,4.90,4,48,Belgian-Style Wit
95376,3.27,(310) 329-8881,1011,3103298881,,Los Angeles,Angel City Brewery,CA,American Amber / Red Ale,4.50,1,128,Belligerent Bloke
200412,3.76,(310) 329-8881,1011,3103298881,,Los Angeles,Angel City Brewery,CA,English Barleywine,9.00,1,152,Belligerent Bloke (2015)
106824,3.59,(310) 329-8881,1011,3103298881,,Los Angeles,Angel City Brewery,CA,Berliner Weissbier,3.30,26,87,Berliner Weisse
178586,4.06,(310) 329-8881,1011,3103298881,,Los Angeles,Angel City Brewery,CA,Herbed / Spiced Beer,7.30,3,8,Desert Dreams
95372,3.3,(310) 329-8881,1011,3103298881,,Los Angeles,Angel City Brewery,CA,Dunkelweizen,4.50,2,91,Dunkel Weisse
173798,2.94,(310) 329-8881,1011,3103298881,,Los Angeles,Angel City Brewery,CA,American Wild Ale,6.60,1,171,Funky Wit
177534,4.61,(310) 329-8881,1011,3103298881,,Los Angeles,Angel City Brewery,CA,American Double / Imperial Stout,11.00,1,157,Imperial Chai Stout
131300,3.81,(310) 329-8881,1011,3103298881,,Los Angeles,Angel City Brewery,CA,American Pale Wheat Ale,5.70,4,93,Lo-Lo
177013,,(310) 329-8881,1011,3103298881,,Los Angeles,Angel City Brewery,CA,Cream Ale,4.80,2,6,Marilyn
95662,3.18,(310) 329-8881,1011,3103298881,,Los Angeles,Angel City Brewery,CA,Märzen / Oktoberfest,6.00,18,29,Oktoberfest
155567,3.92,(310) 329-8881,1011,3103298881,,Los Angeles,Angel City Brewery,CA,American Stout,5.90,6,158,Orange And Cocoa Stout
95373,2.86,(310) 329-8881,1011,3103298881,,Los Angeles,Angel City Brewery,CA,American Pale Lager,5.00,3,155,Pen Is Mightier
124630,4.16,(310) 329-8881,1011,3103298881,,Los Angeles,Angel City Brewery,CA,Saison / Farmhouse Ale,8.30,3,129,Pomegranate Saison
95375,2.91,(310) 329-8881,1011,3103298881,,Los Angeles,Angel City Brewery,CA,Euro Dark Lager,7.50,3,149,Ryeteous
113197,3.34,(310) 329-8881,1011,3103298881,,Los Angeles,Angel City Brewery,CA,Schwarzbier,4.60,5,31,Schwarzbier
95661,3.41,(310) 329-8881,1011,3103298881,,Los Angeles,Angel City Brewery,CA,American IPA,4.40,23,116,Social IPA
181804,4.22,(310) 329-8881,1011,3103298881,,Los Angeles,Angel City Brewery,CA,Chile Beer,4.00,2,163,Srirachelada Original
181805,3.75,(310) 329-8881,1011,3103298881,,Los Angeles,Angel City Brewery,CA,Chile Beer,4.00,4,163,Srirachelada Spicy
182273,,(310) 329-8881,1011,3103298881,,Los Angeles,Angel City Brewery,CA,American Pale Wheat Ale,8.10,1,93,Tart Cherry Imperial Wheat
85543,3.76,(310) 329-8881,1011,3103298881,,Los Angeles,Angel City Brewery,CA,American IPA,6.10,3,116,Test A IPA
110517,3.57,(310) 329-8881,1011,3103298881,,Los Angeles,Angel City Brewery,CA,Fruit / Vegetable Beer,4.80,3,9,Watermelon Wheat
158186,,(310) 329-8881,1011,3103298881,,Los Angeles,Angel City Brewery,CA,Witbier,4.60,8,48,West Coast Wheat
113199,3.49,(310) 329-8881,1011,3103298881,,Los Angeles,Angel City Brewery,CA,American Pale Wheat Ale,4.60,7,93,Wheat Beer
95374,3.53,(310) 329-8881,1011,3103298881,,Los Angeles,Angel City Brewery,CA,American Stout,4.30,34,158,White Nite
135770,4.1,(310) 329-8881,1011,3103298881,,Los Angeles,Angel City Brewery,CA,American Porter,6.50,6,159,Winter Vanilla Porter
6472,3.23,(213) 236-0802,1012,2132360802,,Los Angeles,Bonaventure Brewing,CA,American Blonde Ale,,11,99,Bonaventure Blonde
6473,3.55,(213) 236-0802,1012,2132360802,,Los Angeles,Bonaventure Brewing,CA,American Pale Ale (APA),5.50,15,97,Bonaventure Pale Ale
59253,3.59,(213) 236-0802,1012,2132360802,,Los Angeles,Bonaventure Brewing,CA,American IPA,,7,116,IPA
117402,3.7,(213) 236-0802,1012,2132360802,,Los Angeles,Bonaventure Brewing,CA,Milk / Sweet Stout,,2,82,Long Beach Crude
41278,2.62,(213) 236-0802,1012,2132360802,,Los Angeles,Bonaventure Brewing,CA,Fruit / Vegetable Beer,4.40,10,9,Strawberry Blonde
32068,3.7,(310) 782-0222,1015,3107820222,,Torrance,Red Car Brewery and Restaurant,CA,American Amber / Red Ale,5.70,9,128,Big Red Ale
7960,3.56,(310) 782-0222,1015,3107820222,,Torrance,Red Car Brewery and Restaurant,CA,American Pale Ale (APA),,8,97,Electra Lite
22905,3.37,(310) 782-0222,1015,3107820222,,Torrance,Red Car Brewery and Restaurant,CA,American Amber / Red Ale,5.74,11,128,Motorman Reserve
20150,3.73,(310) 782-0222,1015,3107820222,,Torrance,Red Car Brewery and Restaurant,CA,Pumpkin Ale,5.50,4,72,Pumpkin-Head Ale
14972,3.74,(310) 782-0222,1015,3107820222,,Torrance,Red Car Brewery and Restaurant,CA,American IPA,9.04,29,116,South Bay IPA
18304,3.65,(310) 782-0222,1015,3107820222,,Torrance,Red Car Brewery and Restaurant,CA,American Porter,,10,159,South Loop Porter
47561,3.9,(310) 782-0222,1015,3107820222,,Torrance,Red Car Brewery and Restaurant,CA,American Pale Ale (APA),6.50,2,97,Two Rail Pale Ale
7865,3.66,(310) 316-8477,1016,3103168477,,Redondo Beach,Redondo Beach Brewing,CA,Fruit / Vegetable Beer,3.80,12,9,Blueberry Wheat
58775,2.97,(310) 316-8477,1016,3103168477,,Redondo Beach,Redondo Beach Brewing,CA,American Porter,5.50,4,159,Chocolate Porter
128901,3.5,(310) 316-8477,1016,3103168477,,Redondo Beach,Redondo Beach Brewing,CA,American IPA,,1,116,Golden Road
58885,2.8,(310) 316-8477,1016,3103168477,,Redondo Beach,Redondo Beach Brewing,CA,American Pale Wheat Ale,,1,93,Hefe-Weizen
67577,2.94,(310) 316-8477,1016,3103168477,,Redondo Beach,Redondo Beach Brewing,CA,Märzen / Oktoberfest,6.00,1,29,Marzen Lager
46097,3.45,(310) 316-8477,1016,3103168477,,Redondo Beach,Redondo Beach Brewing,CA,American Brown Ale,,1,73,Nut Brown Ale
85102,2.42,(310) 316-8477,1016,3103168477,,Redondo Beach,Redondo Beach Brewing,CA,Oatmeal Stout,,1,69,Oatmeal Stout
41358,3,(310) 316-8477,1016,3103168477,,Redondo Beach,Redondo Beach Brewing,CA,American Pale Ale (APA),7.00,7,97,Pier Pale Ale
41357,3.66,(310) 316-8477,1016,3103168477,,Redondo Beach,Redondo Beach Brewing,CA,Pumpkin Ale,5.50,2,72,Pumpkin Ale
15316,2.78,(310) 316-8477,1016,3103168477,,Redondo Beach,Redondo Beach Brewing,CA,American Amber / Red Ale,5.00,9,128,Rat Beach Red Ale
65191,2.29,(310) 316-8477,1016,3103168477,,Redondo Beach,Redondo Beach Brewing,CA,American Blonde Ale,3.80,3,99,Redondo Beach Blonde
85103,2.4,(310) 316-8477,1016,3103168477,,Redondo Beach,Redondo Beach Brewing,CA,Saison / Farmhouse Ale,,1,129,Saison Summer Ale
41369,2.87,(310) 831-5663,1018,3108315663,,San Pedro,San Pedro Brewing Company,CA,American Blonde Ale,5.00,7,99,Bruin Blonde
27579,3.84,(310) 831-5663,1018,3108315663,,San Pedro,San Pedro Brewing Company,CA,American Porter,,5,159,Chocolate Porter
145093,3.61,(310) 831-5663,1018,3108315663,,San Pedro,San Pedro Brewing Company,CA,American Double / Imperial Stout,7.50,1,157,Imperial Stout
27581,3.4,(310) 831-5663,1018,3108315663,,San Pedro,San Pedro Brewing Company,CA,American IPA,11.00,3,116,India Pale Ale
63309,3.61,(310) 831-5663,1018,3108315663,,San Pedro,San Pedro Brewing Company,CA,American Brown Ale,5.50,2,73,James Brown Ale
133019,3.67,(310) 831-5663,1018,3108315663,,San Pedro,San Pedro Brewing Company,CA,American Double / Imperial IPA,9.20,1,140,John T's Prohibition Double IPA
12877,3.4,(310) 831-5663,1018,3108315663,,San Pedro,San Pedro Brewing Company,CA,American Pale Ale (APA),,6,97,Point Fermin Pale Ale
133018,3.43,(310) 831-5663,1018,3108315663,,San Pedro,San Pedro Brewing Company,CA,Hefeweizen,5.00,1,89,Port Town Hefe
81856,2.97,(310) 831-5663,1018,3108315663,,San Pedro,San Pedro Brewing Company,CA,German Pilsener,,6,41,Port Town Pilsner
152504,4.1,(310) 831-5663,1018,3108315663,,San Pedro,San Pedro Brewing Company,CA,American Double / Imperial Stout,8.30,1,157,Sunken City Imperial Stout
152499,4.31,(310) 831-5663,1018,3108315663,,San Pedro,San Pedro Brewing Company,CA,Weizenbock,7.60,1,92,Weizenbock Winter Wheat
202308,,(415) 485-1005,10583,4154851005,,Fairfax,Iron Springs Pub & Brewery,CA,Belgian Strong Pale Ale,,0,55,11 Years Strong
202305,,(415) 485-1005,10583,4154851005,,Fairfax,Iron Springs Pub & Brewery,CA,Winter Warmer,,0,47,2015 Winterscotch
49179,3.58,(415) 485-1005,10583,4154851005,,Fairfax,Iron Springs Pub & Brewery,CA,Witbier,5.50,1,48,Alawicious Whit
130276,4.4,(415) 485-1005,10583,4154851005,,Fairfax,Iron Springs Pub & Brewery,CA,American Pale Ale (APA),6.00,2,97,ALS Pale Ale
58266,3.67,(415) 485-1005,10583,4154851005,,Fairfax,Iron Springs Pub & Brewery,CA,American Amber / Red Ale,6.00,3,128,Anne Marie's Amber
53813,4.16,(415) 485-1005,10583,4154851005,,Fairfax,Iron Springs Pub & Brewery,CA,American Barleywine,10.00,5,19,Barstow-Lundy Barleywine
108152,,(415) 485-1005,10583,4154851005,,Fairfax,Iron Springs Pub & Brewery,CA,Quadrupel (Quad),13.00,4,142,Belgian Quad
63977,4.41,(415) 485-1005,10583,4154851005,,Fairfax,Iron Springs Pub & Brewery,CA,American Black Ale,8.00,2,175,Black Magic Rye P.A.
202310,,(415) 485-1005,10583,4154851005,,Fairfax,Iron Springs Pub & Brewery,CA,American Blonde Ale,,0,99,Boom Boom Blonde Ale
67524,3.77,(415) 485-1005,10583,4154851005,,Fairfax,Iron Springs Pub & Brewery,CA,American Porter,6.60,4,159,Boston Porter
36814,3.71,(415) 485-1005,10583,4154851005,,Fairfax,Iron Springs Pub & Brewery,CA,American Double / Imperial IPA,9.30,113,140,Casey Jones Imperial IPA
38335,3.82,(415) 485-1005,10583,4154851005,,Fairfax,Iron Springs Pub & Brewery,CA,Rye Beer,5.00,10,12,Chazz Cat Rye
53348,4.03,(415) 485-1005,10583,4154851005,,Fairfax,Iron Springs Pub & Brewery,CA,American Brown Ale,5.60,3,73,Coco Brown Ale
38336,3.97,(415) 485-1005,10583,4154851005,,Fairfax,Iron Springs Pub & Brewery,CA,American Pale Ale (APA),6.75,13,97,Crippla
48318,4,(415) 485-1005,10583,4154851005,,Fairfax,Iron Springs Pub & Brewery,CA,Czech Pilsener,5.50,5,40,Czechered Past Pilsner
202306,,(415) 485-1005,10583,4154851005,,Fairfax,Iron Springs Pub & Brewery,CA,Munich Dunkel Lager,,0,46,Dark Path Lager
54832,3.79,(415) 485-1005,10583,4154851005,,Fairfax,Iron Springs Pub & Brewery,CA,Scotch Ale / Wee Heavy,8.60,9,77,Edwin's Winter Scotch Ale
34577,3.75,(415) 485-1005,10583,4154851005,,Fairfax,Iron Springs Pub & Brewery,CA,American Amber / Red Ale,5.50,38,128,Epiphany Ale
202307,,(415) 485-1005,10583,4154851005,,Fairfax,Iron Springs Pub & Brewery,CA,Belgian Pale Ale,,1,54,Escape From Fairfax
38436,3.89,(415) 485-1005,10583,4154851005,,Fairfax,Iron Springs Pub & Brewery,CA,American Porter,5.50,14,159,Fairfax Coffee Porter
108155,3.88,(415) 485-1005,10583,4154851005,,Fairfax,Iron Springs Pub & Brewery,CA,American Porter,7.10,2,159,Flashover Porter
136806,4.25,(415) 485-1005,10583,4154851005,,Fairfax,Iron Springs Pub & Brewery,CA,American IPA,7.00,1,116,Harvest JC Flyer
202309,,(415) 485-1005,10583,4154851005,,Fairfax,Iron Springs Pub & Brewery,CA,American Pale Ale (APA),,0,97,Hopositive Oatmeal Pale
38181,3.88,(415) 485-1005,10583,4154851005,,Fairfax,Iron Springs Pub & Brewery,CA,American IPA,7.70,6,116,Iron Springs IPA
49177,3.83,(415) 485-1005,10583,4154851005,,Fairfax,Iron Springs Pub & Brewery,CA,American IPA,6.00,49,116,JC Flyer IPA
50183,3.7,(415) 485-1005,10583,4154851005,,Fairfax,Iron Springs Pub & Brewery,CA,Kölsch,4.50,39,85,Kent Lake Kolsch
63976,4.84,(415) 485-1005,10583,4154851005,,Fairfax,Iron Springs Pub & Brewery,CA,English Porter,6.00,1,101,Mocha Porter
53347,4.14,(415) 485-1005,10583,4154851005,,Fairfax,Iron Springs Pub & Brewery,CA,Märzen / Oktoberfest,5.00,5,29,Oktoberfest
182000,3.83,(415) 485-1005,10583,4154851005,,Fairfax,Iron Springs Pub & Brewery,CA,Vienna Lager,3.80,1,30,Que Valor!
108154,4,(415) 485-1005,10583,4154851005,,Fairfax,Iron Springs Pub & Brewery,CA,Rye Beer,,1,12,Repack Rye
103307,3.71,(415) 485-1005,10583,4154851005,,Fairfax,Iron Springs Pub & Brewery,CA,Saison / Farmhouse Ale,7.00,6,129,Saison D'ete
48319,2.06,(415) 485-1005,10583,4154851005,,Fairfax,Iron Springs Pub & Brewery,CA,American Pale Ale (APA),5.50,4,97,Shining Star Pale Ale
48158,3.93,(415) 485-1005,10583,4154851005,,Fairfax,Iron Springs Pub & Brewery,CA,Oatmeal Stout,7.00,54,69,Sless' Oatmeal Stout
56381,4.04,(415) 485-1005,10583,4154851005,,Fairfax,Iron Springs Pub & Brewery,CA,Schwarzbier,5.50,5,31,The Dark Path Dark Lager
57826,1.96,(415) 485-1005,10583,4154851005,,Fairfax,Iron Springs Pub & Brewery,CA,American Barleywine,,6,19,The Malice
167282,,(415) 485-1005,10583,4154851005,,Fairfax,Iron Springs Pub & Brewery,CA,Maibock / Helles Bock,6.80,0,33,Thriller
176615,3.99,(415) 485-1005,10583,4154851005,,Fairfax,Iron Springs Pub & Brewery,CA,Belgian Pale Ale,,1,54,Voluntary Golden Ale
71194,3.25,(707) 869-0705,10626,7078690705,,Guerneville,Stumptown Brewery & Smokehouse,CA,American IPA,,8,116,Blimey The Wanker IPA
25226,3.39,(707) 869-0705,10626,7078690705,,Guerneville,Stumptown Brewery & Smokehouse,CA,American Pale Wheat Ale,4.00,9,93,Bush-Wacker Wheat
203195,,(707) 869-0705,10626,7078690705,,Guerneville,Stumptown Brewery & Smokehouse,CA,Kölsch,,0,85,Donkey Punch
25224,3.4,(707) 869-0705,10626,7078690705,,Guerneville,Stumptown Brewery & Smokehouse,CA,American Pale Ale (APA),5.80,16,97,Rat Bastard Pale Ale
88023,3.02,(626) 599-3700,10707,6265993700,,Monrovia,Trader Joe's Brewing Company,CA,Doppelbock,,6,35,Dark Double Bock Lager
39924,3.56,(626) 599-3700,10707,6265993700,,Monrovia,Trader Joe's Brewing Company,CA,Dunkelweizen,5.20,358,91,Josephs Brau Dunkelweizen
108016,3.5,(626) 599-3700,10707,6265993700,,Monrovia,Trader Joe's Brewing Company,CA,Maibock / Helles Bock,7.00,116,33,Josephs Brau Heller Bock
33209,3.1,(626) 599-3700,10707,6265993700,76,Monrovia,Trader Joe's Brewing Company,CA,Märzen / Oktoberfest,5.30,177,29,Josephs Brau Oktoberfest
76549,3.33,(626) 599-3700,10707,6265993700,,Monrovia,Trader Joe's Brewing Company,CA,Czech Pilsener,5.40,189,40,Josephs Brau PLZNR Czech-Style Lager
90967,3.57,(626) 599-3700,10707,6265993700,,Monrovia,Trader Joe's Brewing Company,CA,Maibock / Helles Bock,7.30,110,33,Josephs Brau Prost
178642,,(626) 599-3700,10707,6265993700,,Monrovia,Trader Joe's Brewing Company,CA,Maibock / Helles Bock,7.30,3,33,Josephs Brau Spring Prost
50429,3.1,(626) 599-3700,10707,6265993700,,Monrovia,Trader Joe's Brewing Company,CA,Kölsch,4.80,128,85,Josephs Brau Summer Brew
147196,3.78,(626) 599-3700,10707,6265993700,,Monrovia,Trader Joe's Brewing Company,CA,Doppelbock,7.50,43,35,Josephs Brau Winter Brew
41002,3.55,(626) 599-3700,10707,6265993700,81,Monrovia,Trader Joe's Brewing Company,CA,Doppelbock,7.50,268,35,Josephs Brau Winterfest
97946,3.35,(626) 599-3700,10707,6265993700,,Monrovia,Trader Joe's Brewing Company,CA,American Brown Ale,5.70,8,73,Mission St. Brown Ale
197806,4.01,(626) 599-3700,10707,6265993700,,Monrovia,Trader Joe's Brewing Company,CA,Belgian Strong Dark Ale,9.00,39,56,Trader Joe's 2015 Vintage Ale
21619,3.58,(626) 599-3700,10707,6265993700,81,Monrovia,Trader Joe's Brewing Company,CA,Hefeweizen,5.30,398,89,Trader Joe's Bavarian Style Hefeweizen
21614,3.14,(626) 599-3700,10707,6265993700,74,Monrovia,Trader Joe's Brewing Company,CA,Czech Pilsener,5.00,241,40,Trader Joe's Bohemian Lager
21639,3.36,(626) 599-3700,10707,6265993700,83,Monrovia,Trader Joe's Brewing Company,CA,Maibock / Helles Bock,7.00,274,33,Trader Joe's Hofbrau Bock
87945,3.9,(626) 599-3700,10707,6265993700,,Monrovia,Trader Joe's Brewing Company,CA,Belgian Strong Pale Ale,7.50,317,55,Trader Joe's Providential Golden Ale
5688,3.86,(626) 599-3700,10707,6265993700,91,Monrovia,Trader Joe's Brewing Company,CA,Oatmeal Stout,5.20,737,69,Trader Joe's Stockyard Oatmeal Stout
21674,3.47,(626) 599-3700,10707,6265993700,87,Monrovia,Trader Joe's Brewing Company,CA,Vienna Lager,5.70,325,30,Trader Joe's Vienna Style Lager
53474,2.71,(626) 599-3700,10707,6265993700,,Monrovia,Trader Joe's Brewing Company,CA,Light Lager,4.00,49,39,Trader José Light Lager
37259,2.49,(626) 599-3700,10707,6265993700,,Monrovia,Trader Joe's Brewing Company,CA,American Adjunct Lager,,90,38,Trader José Premium Lager
40888,3.29,(626) 599-3700,10707,6265993700,,Monrovia,Trader Joe's Brewing Company,CA,American Amber / Red Lager,5.30,160,147,Trader Jose's Dark Lager
174887,,(510) 526-1160,11017,5105261160,,Berkeley,Trumer Brauerei Berkeley,CA,German Pilsener,4.90,2,41,Dry Hopped Pils
123582,3.88,(510) 526-1160,11017,5105261160,,Berkeley,Trumer Brauerei Berkeley,CA,Kellerbier / Zwickelbier,4.90,4,131,Keller Pils
12679,3.81,(510) 526-1160,11017,5105261160,91,Berkeley,Trumer Brauerei Berkeley,CA,German Pilsener,4.80,556,41,Trumer Pils
