ba_bros_val,ba_avg_score,ba_style,ba_brewery_name,ba_phone_key,ba_beer_name,ba_brewery_city,ba_brewery_state,ba_brewery_name_key,ba_abv,ba_phone,ba_ratings_count
-,3.96,American IPA,21st Amendment Brewery,4153690900,Harvest Moon,San Francisco,CA,21st_Amendment_Brewery,6.40,(415) 369-0900,16
80,3.71,Baltic Porter,21st Amendment Brewery,4153690900,He Said (Baltic Porter),San Francisco,CA,21st_Amendment_Brewery,8.20,(415) 369-0900,490
90,3.79,Tripel,21st Amendment Brewery,4153690900,He Said (Tripel),San Francisco,CA,21st_Amendment_Brewery,8.20,(415) 369-0900,478
80,3.29,Fruit / Vegetable Beer,21st Amendment Brewery,4153690900,Hell Or High Watermelon Wheat Beer,San Francisco,CA,21st_Amendment_Brewery,4.90,(415) 369-0900,2515
-,3.18,American Double / Imperial Stout,21st Amendment Brewery,4153690900,Hendrik's Russian Imperial Stout,San Francisco,CA,21st_Amendment_Brewery,9.30,(415) 369-0900,14
87,3.97,American Double / Imperial IPA,21st Amendment Brewery,4153690900,Hop Crisis,San Francisco,CA,21st_Amendment_Brewery,9.70,(415) 369-0900,1581
-,3.64,American Pale Ale (APA),21st Amendment Brewery,4153690900,Hopduster,San Francisco,CA,21st_Amendment_Brewery,6.10,(415) 369-0900,3
-,3.75,American IPA,21st Amendment Brewery,4153690900,Hops For Heroes: Homefront IPA,San Francisco,CA,21st_Amendment_Brewery,6.20,(415) 369-0900,1
-,3.78,Extra Special / Strong Bitter (ESB),21st Amendment Brewery,4153690900,Lord And Master,San Francisco,CA,21st_Amendment_Brewery,8.30,(415) 369-0900,3
-,3.75,American Barleywine,21st Amendment Brewery,4153690900,Lower De Boom Barleywine,San Francisco,CA,21st_Amendment_Brewery,11.50,(415) 369-0900,672
-,3.91,English Stout,21st Amendment Brewery,4153690900,Marooned On Hog Island,San Francisco,CA,21st_Amendment_Brewery,7.90,(415) 369-0900,438
-,-,American Stout,21st Amendment Brewery,4153690900,MCA Stout,San Francisco,CA,21st_Amendment_Brewery,4.40,(415) 369-0900,14
-,3.6,American Amber / Red Lager,21st Amendment Brewery,4153690900,Megra Nodelo,San Francisco,CA,21st_Amendment_Brewery,5.70,(415) 369-0900,3
-,3.8,Belgian Strong Dark Ale,21st Amendment Brewery,4153690900,Monk's Blood,San Francisco,CA,21st_Amendment_Brewery,8.30,(415) 369-0900,1339
-,3.91,American Double / Imperial IPA,21st Amendment Brewery,4153690900,"Nelson, Jade And Helga",San Francisco,CA,21st_Amendment_Brewery,10.50,(415) 369-0900,4
-,3.72,American Pale Ale (APA),21st Amendment Brewery,4153690900,NorCal Middle-Earth,San Francisco,CA,21st_Amendment_Brewery,5.80,(415) 369-0900,2
-,4.1,American IPA,21st Amendment Brewery,4153690900,OG IPA,San Francisco,CA,21st_Amendment_Brewery,7.10,(415) 369-0900,1
-,3.8,American Strong Ale,21st Amendment Brewery,4153690900,Old Glory,San Francisco,CA,21st_Amendment_Brewery,7.30,(415) 369-0900,11
-,3.44,English Stout,21st Amendment Brewery,4153690900,Oyster Point Oyster Stout,San Francisco,CA,21st_Amendment_Brewery,4.90,(415) 369-0900,38
-,3.75,American IPA,21st Amendment Brewery,4153690900,Personality Crisis IPA,San Francisco,CA,21st_Amendment_Brewery,7.60,(415) 369-0900,1
-,-,American Strong Ale,21st Amendment Brewery,4153690900,POHW,San Francisco,CA,21st_Amendment_Brewery,9.50,(415) 369-0900,0
-,-,American IPA,21st Amendment Brewery,4153690900,Red Dwarf,San Francisco,CA,21st_Amendment_Brewery,7.50,(415) 369-0900,2
-,3.63,American Strong Ale,21st Amendment Brewery,4153690900,Red Giant,San Francisco,CA,21st_Amendment_Brewery,11.00,(415) 369-0900,3
-,3.5,American Strong Ale,21st Amendment Brewery,4153690900,Red Titan,San Francisco,CA,21st_Amendment_Brewery,12.80,(415) 369-0900,1
-,-,Witbier,21st Amendment Brewery,4153690900,San Leandro Cherry Wheat,San Francisco,CA,21st_Amendment_Brewery,5.10,(415) 369-0900,2
83,3.57,Saison / Farmhouse Ale,21st Amendment Brewery,4153690900,Sneak Attack Saison,San Francisco,CA,21st_Amendment_Brewery,6.20,(415) 369-0900,569
-,3.54,American Blonde Ale,21st Amendment Brewery,4153690900,South Park Blonde,San Francisco,CA,21st_Amendment_Brewery,5.10,(415) 369-0900,31
-,4.06,American Pale Ale (APA),21st Amendment Brewery,4153690900,Springtime For Hallertau,San Francisco,CA,21st_Amendment_Brewery,5.60,(415) 369-0900,2
-,-,American Porter,21st Amendment Brewery,4153690900,Starry Night,San Francisco,CA,21st_Amendment_Brewery,5.40,(415) 369-0900,1
-,3.38,American Pale Wheat Ale,21st Amendment Brewery,4153690900,The White Flame,San Francisco,CA,21st_Amendment_Brewery,5.50,(415) 369-0900,2
-,3.99,American Amber / Red Ale,21st Amendment Brewery,4153690900,Toaster Pastry,San Francisco,CA,21st_Amendment_Brewery,7.60,(415) 369-0900,353
-,-,Fruit / Vegetable Beer,21st Amendment Brewery,4153690900,Two Rivers Cider,San Francisco,CA,21st_Amendment_Brewery,6.50,(415) 369-0900,1
-,3.82,English Bitter,21st Amendment Brewery,4153690900,Wild & Scenic,San Francisco,CA,21st_Amendment_Brewery,4.80,(415) 369-0900,2
-,-,American Strong Ale,2kids Brewing Company,8584805437,2nd Anniversary,San Diego,CA,2kids_Brewing_Company,9.80,(858) 480-5437,1
-,3.13,American Amber / Red Ale,2kids Brewing Company,8584805437,And To All A Good Light,San Diego,CA,2kids_Brewing_Company,3.40,(858) 480-5437,2
-,-,Herbed / Spiced Beer,2kids Brewing Company,8584805437,Apple Pie Spiced Amber Ale,San Diego,CA,2kids_Brewing_Company,5.80,(858) 480-5437,0
-,-,English Bitter,2kids Brewing Company,8584805437,Bollocks,San Diego,CA,2kids_Brewing_Company,4.60,(858) 480-5437,0
-,-,American Blonde Ale,2kids Brewing Company,8584805437,Cupcake Vanilla Blonde,San Diego,CA,2kids_Brewing_Company,4.60,(858) 480-5437,0
-,-,American Stout,2kids Brewing Company,8584805437,Dark Sided,San Diego,CA,2kids_Brewing_Company,7.50,(858) 480-5437,1
-,4,Saison / Farmhouse Ale,2kids Brewing Company,8584805437,Fo' Drizzle,San Diego,CA,2kids_Brewing_Company,6.70,(858) 480-5437,3
-,3.21,American IPA,2kids Brewing Company,8584805437,HULK SMASH,San Diego,CA,2kids_Brewing_Company,?,(858) 480-5437,3
-,3.4,English Pale Mild Ale,2kids Brewing Company,8584805437,Incredulous,San Diego,CA,2kids_Brewing_Company,3.10,(858) 480-5437,5
-,-,American Pale Ale (APA),2kids Brewing Company,8584805437,Local Harvest,San Diego,CA,2kids_Brewing_Company,5.80,(858) 480-5437,1
-,3.75,English Porter,2kids Brewing Company,8584805437,"No Stout, Sherlock",San Diego,CA,2kids_Brewing_Company,5.00,(858) 480-5437,1
-,3.34,American IPA,2kids Brewing Company,8584805437,Obligatory IPA,San Diego,CA,2kids_Brewing_Company,6.30,(858) 480-5437,6
-,3.78,Cream Ale,2kids Brewing Company,8584805437,One Twenty Three,San Diego,CA,2kids_Brewing_Company,4.60,(858) 480-5437,6
-,3.5,American Barleywine,2kids Brewing Company,8584805437,Rough Day,San Diego,CA,2kids_Brewing_Company,10.70,(858) 480-5437,1
-,4,Saison / Farmhouse Ale,2kids Brewing Company,8584805437,Say What? Rye Saison,San Diego,CA,2kids_Brewing_Company,6.40,(858) 480-5437,1
-,4.25,American Stout,2kids Brewing Company,8584805437,Tribute Coffee Blond Stout With Dark Horse Coffee,San Diego,CA,2kids_Brewing_Company,5.60,(858) 480-5437,1
-,3.34,California Common / Steam Beer,2kids Brewing Company,8584805437,Unusual,San Diego,CA,2kids_Brewing_Company,5.40,(858) 480-5437,6
-,2.74,American Pale Wheat Ale,2kids Brewing Company,8584805437,Wheatly Wonderland,San Diego,CA,2kids_Brewing_Company,4.70,(858) 480-5437,2
-,4.24,Milk / Sweet Stout,2kids Brewing Company,8584805437,Winning,San Diego,CA,2kids_Brewing_Company,6.20,(858) 480-5437,9
-,3.92,Berliner Weissbier,32 North Brewing Co.,7147918973,Apricot Landfall,San Diego,CA,32_North_Brewing_Co.,4.10,(714) 791-8973,5
-,-,American IPA,32 North Brewing Co.,7147918973,Best Coast IPA,San Diego,CA,32_North_Brewing_Co.,6.20,(714) 791-8973,1
-,4.01,Berliner Weissbier,32 North Brewing Co.,7147918973,Black Cherry Landfall,San Diego,CA,32_North_Brewing_Co.,?,(714) 791-8973,6
-,4.15,Berliner Weissbier,32 North Brewing Co.,7147918973,Black Currant Landfall,San Diego,CA,32_North_Brewing_Co.,4.10,(714) 791-8973,8
-,4.17,Berliner Weissbier,32 North Brewing Co.,7147918973,Blackberry Landfall,San Diego,CA,32_North_Brewing_Co.,3.80,(714) 791-8973,9
-,-,American Blonde Ale,32 North Brewing Co.,7147918973,Blonde,San Diego,CA,32_North_Brewing_Co.,4.70,(714) 791-8973,1
-,-,Kölsch,32 North Brewing Co.,7147918973,Common Good,San Diego,CA,32_North_Brewing_Co.,5.20,(714) 791-8973,1
-,3.63,Milk / Sweet Stout,32 North Brewing Co.,7147918973,Fly By Night,San Diego,CA,32_North_Brewing_Co.,6.50,(714) 791-8973,5
-,3.38,American IPA,32 North Brewing Co.,7147918973,Imma Let You Finish,San Diego,CA,32_North_Brewing_Co.,6.20,(714) 791-8973,1
-,-,Berliner Weissbier,32 North Brewing Co.,7147918973,Landfall,San Diego,CA,32_North_Brewing_Co.,3.50,(714) 791-8973,8
-,4.12,Gose,32 North Brewing Co.,7147918973,Maverick & Gose Key Lime Gose,San Diego,CA,32_North_Brewing_Co.,4.10,(714) 791-8973,3
-,3.54,American IPA,32 North Brewing Co.,7147918973,Nautical Mile IPA,San Diego,CA,32_North_Brewing_Co.,7.50,(714) 791-8973,10
-,-,American Brown Ale,32 North Brewing Co.,7147918973,Pack Your Bags,San Diego,CA,32_North_Brewing_Co.,5.00,(714) 791-8973,1
-,3.79,Berliner Weissbier,32 North Brewing Co.,7147918973,Passionfruit Landfall,San Diego,CA,32_North_Brewing_Co.,4.10,(714) 791-8973,3
-,3.84,Berliner Weissbier,32 North Brewing Co.,7147918973,Peach Landfall,San Diego,CA,32_North_Brewing_Co.,4.10,(714) 791-8973,1
-,3.56,American Porter,32 North Brewing Co.,7147918973,Peanut Butter Cup Porter,San Diego,CA,32_North_Brewing_Co.,6.00,(714) 791-8973,8
-,-,American Pale Ale (APA),32 North Brewing Co.,7147918973,Pennant Pale Ale,San Diego,CA,32_North_Brewing_Co.,5.50,(714) 791-8973,8
-,-,American Double / Imperial Stout,32 North Brewing Co.,7147918973,Polar Opposite,San Diego,CA,32_North_Brewing_Co.,10.50,(714) 791-8973,1
-,3.98,Berliner Weissbier,32 North Brewing Co.,7147918973,Raspberry Landfall,San Diego,CA,32_North_Brewing_Co.,3.70,(714) 791-8973,2
-,-,American Amber / Red Ale,32 North Brewing Co.,7147918973,Rogerius,San Diego,CA,32_North_Brewing_Co.,8.40,(714) 791-8973,2
-,3.86,American Stout,32 North Brewing Co.,7147918973,Russian Imperial Stout,San Diego,CA,32_North_Brewing_Co.,9.50,(714) 791-8973,6
-,3.89,English Dark Mild Ale,32 North Brewing Co.,7147918973,Toasted Coconut Mild,San Diego,CA,32_North_Brewing_Co.,4.80,(714) 791-8973,3
-,-,American Double / Imperial IPA,8one8 Brewing,8188352286,Good Day IPA,Canoga Park,CA,8one8_Brewing,9.50,(818) 835-2286,0
-,-,American Amber / Red Ale,8one8 Brewing,8188352286,Matador Red Ale,Canoga Park,CA,8one8_Brewing,5.80,(818) 835-2286,0
-,-,American Blonde Ale,8one8 Brewing,8188352286,Valley Girl Blonde,Canoga Park,CA,8one8_Brewing,5.60,(818) 835-2286,0
-,-,American Pale Ale (APA),927 Beer Company,8052035265,Dakota Pale Ale,Cambria,CA,927_Beer_Company,5.20,(805) 203-5265,0
-,-,American Double / Imperial Stout,927 Beer Company,8052035265,Five Horizons,Cambria,CA,927_Beer_Company,10.00,(805) 203-5265,0
-,-,American Double / Imperial Stout,927 Beer Company,8052035265,Ghost Of Our Trees,Cambria,CA,927_Beer_Company,10.00,(805) 203-5265,0
-,-,Oatmeal Stout,927 Beer Company,8052035265,Mudhoney Oatmeal Stout,Cambria,CA,927_Beer_Company,5.00,(805) 203-5265,0
-,-,American Barleywine,927 Beer Company,8052035265,Night Hawk,Cambria,CA,927_Beer_Company,12.00,(805) 203-5265,0
-,-,American Pale Wheat Ale,927 Beer Company,8052035265,Nit Wit Wheat,Cambria,CA,927_Beer_Company,5.20,(805) 203-5265,0
-,-,American Porter,927 Beer Company,8052035265,Old #23 Robust Porter,Cambria,CA,927_Beer_Company,6.10,(805) 203-5265,0
-,3.53,Tripel,927 Beer Company,8052035265,Rival,Cambria,CA,927_Beer_Company,?,(805) 203-5265,2
-,3.92,American Amber / Red Ale,927 Beer Company,8052035265,Toyon,Cambria,CA,927_Beer_Company,5.80,(805) 203-5265,1
-,-,American IPA,Abnormal Beer Company,8586182463,5 Pm Session,San Diego,CA,Abnormal_Beer_Company,5.20,(858) 618-2463,5
-,4.1,Belgian Pale Ale,Abnormal Beer Company,8586182463,Bee Juice,San Diego,CA,Abnormal_Beer_Company,5.00,(858) 618-2463,1
-,3.9,Belgian IPA,Abnormal Beer Company,8586182463,Boardroom BIPA,San Diego,CA,Abnormal_Beer_Company,?,(858) 618-2463,1
-,-,Saison / Farmhouse Ale,Abnormal Beer Company,8586182463,Calamansi Saison,San Diego,CA,Abnormal_Beer_Company,?,(858) 618-2463,1
-,-,American IPA,Abnormal Beer Company,8586182463,Debut IPA,San Diego,CA,Abnormal_Beer_Company,7.60,(858) 618-2463,7
-,3.88,Dubbel,Abnormal Beer Company,8586182463,Dubbel Avec Framboise,San Diego,CA,Abnormal_Beer_Company,6.00,(858) 618-2463,3
-,4.06,American Porter,Abnormal Beer Company,8586182463,Full Pint Breakfast Porter,San Diego,CA,Abnormal_Beer_Company,9.50,(858) 618-2463,13
-,-,American Double / Imperial IPA,Abnormal Beer Company,8586182463,I'll Take The Ee-Pah,San Diego,CA,Abnormal_Beer_Company,8.30,(858) 618-2463,4
-,-,Saison / Farmhouse Ale,Abnormal Beer Company,8586182463,Living The Dream,San Diego,CA,Abnormal_Beer_Company,7.30,(858) 618-2463,0
-,3.99,American Pale Ale (APA),Abnormal Beer Company,8586182463,Lunch Meeting,San Diego,CA,Abnormal_Beer_Company,5.90,(858) 618-2463,2
-,4.65,Oatmeal Stout,Abnormal Beer Company,8586182463,M2,San Diego,CA,Abnormal_Beer_Company,9.00,(858) 618-2463,2
-,4.59,American Stout,Abnormal Beer Company,8586182463,Mostra Mocha Coconut Stout,San Diego,CA,Abnormal_Beer_Company,5.10,(858) 618-2463,1
-,-,American Stout,Abnormal Beer Company,8586182463,Mostra Mocha Stout,San Diego,CA,Abnormal_Beer_Company,5.10,(858) 618-2463,5
-,-,Saison / Farmhouse Ale,Abnormal Beer Company,8586182463,Peach Saison,San Diego,CA,Abnormal_Beer_Company,?,(858) 618-2463,0
-,3.69,Rye Beer,Abnormal Beer Company,8586182463,Randezvous IPA W/ Blueberries,San Diego,CA,Abnormal_Beer_Company,6.00,(858) 618-2463,1
-,4.05,American IPA,Abnormal Beer Company,8586182463,Rendezvious IPA,San Diego,CA,Abnormal_Beer_Company,6.00,(858) 618-2463,3
-,3.9,Saison / Farmhouse Ale,Abnormal Beer Company,8586182463,SD Peach Party!,San Diego,CA,Abnormal_Beer_Company,5.70,(858) 618-2463,2
-,3.94,American Porter,Abnormal Beer Company,8586182463,Sweet Sassy Molassy,San Diego,CA,Abnormal_Beer_Company,6.30,(858) 618-2463,1
-,3.5,American Double / Imperial IPA,Absolution Brewing Company,3104904860,American Revelation,Torrance,CA,Absolution_Brewing_Company,7.60,(310) 490-4860,4
-,3.71,American IPA,Absolution Brewing Company,3104904860,Angels Demise,Torrance,CA,Absolution_Brewing_Company,7.20,(310) 490-4860,11
-,3.54,American Amber / Red Ale,Absolution Brewing Company,3104904860,Cardinal Sin,Torrance,CA,Absolution_Brewing_Company,6.10,(310) 490-4860,8
-,-,Kölsch,Absolution Brewing Company,3104904860,Conviction,Torrance,CA,Absolution_Brewing_Company,6.70,(310) 490-4860,0
-,3.72,English India Pale Ale (IPA),Absolution Brewing Company,3104904860,Crimson Angel,Torrance,CA,Absolution_Brewing_Company,6.10,(310) 490-4860,5
-,3.61,English India Pale Ale (IPA),Absolution Brewing Company,3104904860,Fallen Archangel,Torrance,CA,Absolution_Brewing_Company,8.40,(310) 490-4860,7
-,4,Flanders Oud Bruin,Absolution Brewing Company,3104904860,Forgiven,Torrance,CA,Absolution_Brewing_Company,6.40,(310) 490-4860,1
-,-,Irish Red Ale,Absolution Brewing Company,3104904860,Grateful Red,Torrance,CA,Absolution_Brewing_Company,10.50,(310) 490-4860,2
-,-,American Stout,Absolution Brewing Company,3104904860,Highland Sinner,Torrance,CA,Absolution_Brewing_Company,7.70,(310) 490-4860,1
-,-,Milk / Sweet Stout,Absolution Brewing Company,3104904860,Holy Cow,Torrance,CA,Absolution_Brewing_Company,?,(310) 490-4860,5
-,4.13,English Bitter,Absolution Brewing Company,3104904860,John Bullington's,Torrance,CA,Absolution_Brewing_Company,5.80,(310) 490-4860,2
-,-,American Double / Imperial IPA,Absolution Brewing Company,3104904860,Lucifer's Fall,Torrance,CA,Absolution_Brewing_Company,9.30,(310) 490-4860,2
-,3.5,American Brown Ale,Absolution Brewing Company,3104904860,Mad Monk,Torrance,CA,Absolution_Brewing_Company,5.20,(310) 490-4860,1
-,-,American Pale Ale (APA),Absolution Brewing Company,3104904860,Penance,Torrance,CA,Absolution_Brewing_Company,5.00,(310) 490-4860,2
-,3.7,American Porter,Absolution Brewing Company,3104904860,Possessed Joe Coffee Porter,Torrance,CA,Absolution_Brewing_Company,5.40,(310) 490-4860,3
-,3.51,English Porter,Absolution Brewing Company,3104904860,Possessed Porter,Torrance,CA,Absolution_Brewing_Company,5.40,(310) 490-4860,8
-,3.62,Hefeweizen,Absolution Brewing Company,3104904860,Purgatory Hefeweizen,Torrance,CA,Absolution_Brewing_Company,5.60,(310) 490-4860,11
-,-,English Pale Mild Ale,Absolution Brewing Company,3104904860,Reprieve,Torrance,CA,Absolution_Brewing_Company,4.70,(310) 490-4860,0
-,4.43,Rye Beer,Absolution Brewing Company,3104904860,Revelation,Torrance,CA,Absolution_Brewing_Company,7.50,(310) 490-4860,3
-,4.05,English Stout,Absolution Brewing Company,3104904860,Sinner Stout,Torrance,CA,Absolution_Brewing_Company,5.10,(310) 490-4860,4
-,3.75,California Common / Steam Beer,Absolution Brewing Company,3104904860,The Convert,Torrance,CA,Absolution_Brewing_Company,6.20,(310) 490-4860,1
-,3.83,American Double / Imperial IPA,Absolution Brewing Company,3104904860,The Wicked,Torrance,CA,Absolution_Brewing_Company,9.60,(310) 490-4860,7
-,4,American Brown Ale,Absolution Brewing Company,3104904860,Tipsy Monk,Torrance,CA,Absolution_Brewing_Company,5.20,(310) 490-4860,1
-,3.38,American Blonde Ale,Absolution Brewing Company,3104904860,Trespasser,Torrance,CA,Absolution_Brewing_Company,6.60,(310) 490-4860,4
-,3.46,American Pale Wheat Ale,Absolution Brewing Company,3104904860,Trespasser Strawberry,Torrance,CA,Absolution_Brewing_Company,6.60,(310) 490-4860,7
-,-,American Porter,Absolution Brewing Company,3104904860,Wanderin' Star,Torrance,CA,Absolution_Brewing_Company,8.80,(310) 490-4860,1
-,3.5,American Amber / Red Ale,Academy of Fine Beers,9498625808,Bierbitzch Amber,Corona Del Mar,CA,Academy_of_Fine_Beers,?,(949) 862-5808,1
-,2.82,German Pilsener,Academy of Fine Beers,9498625808,Josef Bierbitzch Golden Pilsner,Corona Del Mar,CA,Academy_of_Fine_Beers,?,(949) 862-5808,27
-,2.82,Light Lager,Academy of Fine Beers,9498625808,Wing Man American Lager,Corona Del Mar,CA,Academy_of_Fine_Beers,5.50,(949) 862-5808,4
-,3.93,American Double / Imperial IPA,Acoustic Ales Brewing Experiment,6192992537,AA Meeting,San Diego,CA,Acoustic_Ales_Brewing_Experiment,10.00,(619) 299-2537,5
-,3.63,Rye Beer,Acoustic Ales Brewing Experiment,6192992537,Back In GSSR,San Diego,CA,Acoustic_Ales_Brewing_Experiment,6.50,(619) 299-2537,19
-,5,American Blonde Ale,Acoustic Ales Brewing Experiment,6192992537,Blondie,San Diego,CA,Acoustic_Ales_Brewing_Experiment,6.00,(619) 299-2537,1
-,3.5,American Blonde Ale,Acoustic Ales Brewing Experiment,6192992537,Cali Blonde,San Diego,CA,Acoustic_Ales_Brewing_Experiment,6.75,(619) 299-2537,1
-,-,Scottish Ale,Acoustic Ales Brewing Experiment,6192992537,Ex-Hop-Loited,San Diego,CA,Acoustic_Ales_Brewing_Experiment,6.25,(619) 299-2537,0
-,-,American Pale Ale (APA),Acoustic Ales Brewing Experiment,6192992537,Flock Of Falconers,San Diego,CA,Acoustic_Ales_Brewing_Experiment,4.50,(619) 299-2537,1
-,3.85,American Brown Ale,Acoustic Ales Brewing Experiment,6192992537,Gelato Verra Coffee And Donuts Brown Ale,San Diego,CA,Acoustic_Ales_Brewing_Experiment,6.25,(619) 299-2537,1
-,3.79,American Pale Ale (APA),Acoustic Ales Brewing Experiment,6192992537,Greatest Hits,San Diego,CA,Acoustic_Ales_Brewing_Experiment,5.50,(619) 299-2537,6
-,3.8,American Double / Imperial IPA,Acoustic Ales Brewing Experiment,6192992537,Hit Me With Your Best Hops - Equinox,San Diego,CA,Acoustic_Ales_Brewing_Experiment,8.00,(619) 299-2537,5
-,-,English India Pale Ale (IPA),Acoustic Ales Brewing Experiment,6192992537,Hop Save The Queen,San Diego,CA,Acoustic_Ales_Brewing_Experiment,5.50,(619) 299-2537,0
-,3.91,American Double / Imperial IPA,Acoustic Ales Brewing Experiment,6192992537,Hop Way To The Danger Zone,San Diego,CA,Acoustic_Ales_Brewing_Experiment,10.00,(619) 299-2537,13
-,3.27,American Adjunct Lager,Acoustic Ales Brewing Experiment,6192992537,Hopski (Pre-Prohibition Style Lager),San Diego,CA,Acoustic_Ales_Brewing_Experiment,5.00,(619) 299-2537,6
-,-,American Stout,Acoustic Ales Brewing Experiment,6192992537,Hot Mess,San Diego,CA,Acoustic_Ales_Brewing_Experiment,8.50,(619) 299-2537,5
-,3.13,American IPA,Acoustic Ales Brewing Experiment,6192992537,I'm Hot For Wheat-Cher,San Diego,CA,Acoustic_Ales_Brewing_Experiment,6.00,(619) 299-2537,2
-,-,Tripel,Acoustic Ales Brewing Experiment,6192992537,Instant Tripel Karma,San Diego,CA,Acoustic_Ales_Brewing_Experiment,7.25,(619) 299-2537,4
-,3.56,American Double / Imperial Stout,Acoustic Ales Brewing Experiment,6192992537,Kopi Luwak Coffee Stout,San Diego,CA,Acoustic_Ales_Brewing_Experiment,9.50,(619) 299-2537,3
